Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.47,-0.05,0.49,0.03,0.5,183.331,-0.236,3.603,-0.188,-0.121,0.975,1,0,26.23,-13.458,-21.919,-4.539,-0.222,0.262,0.093,Random,N/A
0.48,-0.06,0.49,0.04,0.5,183.284,-0.466,3.459,-0.177,-0.118,0.977,1,0,29.8,-17.159,-23.872,-4.143,-0.222,0.262,0.093,Random,N/A
0.49,-0.06,0.48,0.04,0.49,183.246,-0.718,3.293,-0.177,-0.118,0.977,1,0,31.88,-17.479,-26.36,-2.922,-0.222,0.262,0.093,Random,N/A
0.5,-0.06,0.49,0.04,0.49,183.224,-0.956,3.116,-0.177,-0.126,0.976,1,0,29.91,-14.458,-26.016,-1.183,-0.222,0.262,0.093,Random,N/A
0.51,-0.05,0.48,0.04,0.48,183.22,-1.155,2.954,-0.174,-0.135,0.975,1,0,24.29,-8.858,-22.469,0.595,-0.222,0.262,0.093,Random,N/A
0.52,-0.05,0.48,0.04,0.48,183.237,-1.317,2.798,-0.176,-0.152,0.973,1,0,20.34,-2.541,-19.943,1.976,-0.222,0.255,0.107,Random,N/A
0.53,-0.03,0.47,0.04,0.48,183.251,-1.372,2.728,-0.17,-0.171,0.97,1,0,19.02,2.464,-18.517,2.762,-0.222,0.255,0.107,Random,N/A
0.54,-0.03,0.48,0.04,0.48,183.278,-1.431,2.63,-0.191,-0.186,0.964,1,0,9.61,1.602,-9.132,1.945,-0.222,0.255,0.107,Random,N/A
0.55,-0.02,0.5,0.04,0.5,183.297,-1.511,2.634,-0.231,-0.21,0.95,1,0,7.87,-6.34,-2.411,3.845,-0.222,0.255,0.107,Random,N/A
0.56,-0.01,0.5,0.04,0.5,183.345,-1.675,2.692,-0.203,-0.222,0.954,1,0,20.27,-16.937,-3.22,10.551,-0.222,0.255,0.107,Random,N/A
0.57,-0.01,0.49,0.04,0.5,183.464,-1.948,2.72,-0.151,-0.222,0.963,1,0,32.33,-25.192,-9.544,17.746,-0.222,0.255,0.107,Random,N/A
0.58,0,0.5,0.04,0.5,183.649,-2.302,2.676,-0.118,-0.235,0.965,1,0,36.4,-28.259,-10.117,20.454,-0.222,0.255,0.107,Random,N/A
0.59,0,0.5,0.02,0.51,183.85,-2.681,2.633,-0.119,-0.243,0.963,1,0,32.1,-26.268,-4.57,17.784,-0.222,0.255,0.107,Random,N/A
0.6,-0.01,0.5,0.03,0.5,184.014,-3.033,2.643,-0.126,-0.236,0.964,1,0,24.16,-20.905,-2.19,11.826,-0.222,0.255,0.107,Random,N/A
0.61,-0.01,0.5,0.05,0.5,184.115,-3.329,2.672,-0.143,-0.222,0.964,1,0,15.59,-14.587,-2.808,4.578,-0.222,0.255,0.107,Random,N/A
0.62,-0.01,0.49,0.04,0.49,184.145,-3.557,2.706,-0.159,-0.207,0.965,1,0,9.14,-8.621,-2.335,-1.785,-0.222,0.255,0.107,Random,N/A
0.63,0,0.49,0.04,0.49,184.115,-3.724,2.749,-0.165,-0.189,0.968,1,0,8.69,-4.173,-4.349,-6.21,-0.222,0.255,0.107,Random,N/A
0.64,-0.01,0.49,0.04,0.5,184.047,-3.845,2.771,-0.18,-0.185,0.966,1,0,12.84,-1.77,-9.491,-8.362,-0.222,0.255,0.107,Random,N/A
0.65,-0.01,0.5,0.03,0.5,183.951,-3.96,2.739,-0.185,-0.191,0.964,1,0,18.15,-0.999,-15.724,-8.827,-0.217,0.253,0.105,Random,N/A
0.66,-0.02,0.5,0.03,0.5,183.873,-4.052,2.634,-0.17,-0.205,0.964,1,0,23.39,-1.137,-21.622,-8.553,-0.217,0.253,0.105,Random,N/A
